Loss Parameter,Input Tokens Mean,Jaccard Similarity Mean,Levenshtein Distance Mean,Normalized Levenshtein Distance Mean,Cosine Similarity Mean
0.0,56.9,1.0,0.3,0.9989247311827956,0.9984440721413044
0.05,56.8,1.0,0.0,1.0,0.9999999999999998
0.1,56.9,1.0,0.3,0.9989247311827956,0.9984440721413044
0.15,56.9,1.0,0.4,0.9985915492957746,0.999777698275898
0.2,56.8,1.0,0.0,1.0,0.9999999999999998
0.25,56.9,1.0,0.3,0.9989247311827956,0.9984440721413044
0.3,56.8,1.0,0.0,1.0,0.9999999999999998
0.35,56.9,1.0,0.3,0.9989247311827956,0.9984440721413044
0.4,56.8,1.0,0.0,1.0,0.9999999999999998
0.45,56.8,1.0,0.0,1.0,0.9999999999999998
0.5,56.8,1.0,0.0,1.0,0.9999999999999998
0.55,56.8,1.0,0.0,1.0,0.9999999999999998
0.6,56.8,1.0,0.0,1.0,0.9999999999999998
0.65,56.8,1.0,0.0,1.0,0.9999999999999998
0.7,56.8,1.0,0.0,1.0,0.9999999999999998
0.75,56.8,1.0,0.0,1.0,0.9999999999999998
0.8,56.8,1.0,0.0,1.0,0.9999999999999998
0.85,56.8,1.0,0.0,1.0,0.9999999999999998
0.9,56.8,1.0,0.0,1.0,0.9999999999999998
0.95,56.8,1.0,0.0,1.0,0.9999999999999998
