Loss Parameter,Input Tokens Mean,Jaccard Similarity Mean,Levenshtein Distance Mean,Normalized Levenshtein Distance Mean,Cosine Similarity Mean
0.0,57.0,0.99375,0.9,0.9968169797792698,0.9982217704172026
0.05,56.9,1.0,0.4,0.9985611510791367,0.9953790083475089
0.1,56.8,1.0,0.0,1.0,0.9999999999999998
0.15,56.8,1.0,0.0,1.0,0.9999999999999998
0.2,56.8,1.0,0.0,1.0,0.9999999999999998
0.25,56.9,1.0,0.5,0.9982078853046594,0.9953790083475089
0.3,56.8,1.0,0.0,1.0,0.9999999999999998
0.35,56.9,1.0,0.7,0.9972428419936374,0.9947834868619617
0.4,56.8,1.0,0.2,0.9992857142857143,0.9980817423663695
0.45,56.9,0.9864367816091955,0.7,0.9973814592595588,0.9968510095710915
0.5,56.9,1.0,0.5,0.9980762095047808,0.995622606033011
0.55,56.9,1.0,0.8,0.9971440555174255,0.9951567066234069
0.6,56.8,0.993103448275862,0.8,0.9970222946146798,0.9972603018444406
0.65,56.8,0.9933333333333334,0.5,0.9982549541555752,0.9948413298589388
0.7,56.8,0.993103448275862,0.8,0.997041323205137,0.9968510095710915
0.75,56.8,0.9898776418242491,1.0,0.9963315642622605,0.9922182692052391
0.8,56.9,0.9933333333333334,0.3,0.9989352262644188,0.9941564747706361
0.85,56.8,0.9864367816091955,1.1,0.9959765494695558,0.9943991885958623
0.9,56.9,0.9864367816091955,1.9,0.9928254623367098,0.9887770509378362
0.95,57.0,0.993103448275862,1.6,0.9937527173511238,0.9871666263933992
